# File, Counts, Atom Detected (threshold=7326), Max Count, X-pos (pix), Y-pos (pix), Mean Count, s.d.
728.0,7071.0,0.0,817.0,5.0,13.0,785.6574074074074,786.6461068662297
729.0,7561.0,1.0,966.0,9.0,9.0,785.425925925926,786.410766248442
730.0,7081.0,0.0,813.0,4.0,10.0,786.7291666666666,787.7213827224343
731.0,7119.0,0.0,825.0,11.0,12.0,785.1481481481482,786.1500892813217
732.0,7061.0,0.0,819.0,15.0,11.0,785.988425925926,786.9842567787703
733.0,7100.0,0.0,821.0,15.0,4.0,786.7361111111111,787.7212133596494
734.0,7087.0,0.0,818.0,10.0,12.0,785.761574074074,786.7562277789455
735.0,7103.0,0.0,824.0,16.0,18.0,787.1643518518518,788.1565071826693
736.0,7546.0,1.0,940.0,9.0,9.0,788.0208333333334,789.0152942565599
737.0,7051.0,0.0,819.0,3.0,3.0,784.0092592592592,785.0038556365625
738.0,7119.0,0.0,827.0,11.0,12.0,785.1851851851852,786.1780496516424
739.0,7113.0,0.0,819.0,10.0,13.0,786.2685185185185,787.2642519003297
740.0,7100.0,0.0,827.0,10.0,20.0,786.1620370370371,787.1549875837403
741.0,7108.0,0.0,816.0,19.0,19.0,785.7291666666666,786.7170427392729
742.0,7580.0,1.0,972.0,9.0,9.0,785.6666666666666,786.6549729097962
743.0,7118.0,0.0,829.0,17.0,4.0,788.2361111111111,789.2248539355597
744.0,7085.0,0.0,821.0,8.0,9.0,786.1736111111111,787.1686184514155
745.0,7063.0,0.0,814.0,0.0,0.0,785.9189814814815,786.903498536689
746.0,7071.0,0.0,831.0,8.0,17.0,788.5023148148148,789.5035607201472
747.0,7104.0,0.0,828.0,8.0,5.0,788.2361111111111,789.2368836215636
748.0,7086.0,0.0,820.0,8.0,16.0,788.375,789.3753117691397
749.0,7133.0,0.0,825.0,8.0,4.0,787.7986111111111,788.80511856935
750.0,7127.0,0.0,820.0,14.0,0.0,788.2037037037037,789.2028519533634
751.0,7059.0,0.0,819.0,14.0,11.0,786.636574074074,787.6386468749766
752.0,7068.0,0.0,815.0,3.0,18.0,788.0208333333334,789.0131505495578
753.0,7012.0,0.0,825.0,1.0,10.0,786.7592592592592,787.7550734107999
754.0,7552.0,1.0,944.0,9.0,9.0,788.4768518518518,789.4826083347936
755.0,7579.0,1.0,958.0,9.0,9.0,787.988425925926,788.9862052143633
756.0,7580.0,1.0,950.0,9.0,9.0,788.5092592592592,789.4931323529563
757.0,7083.0,0.0,823.0,13.0,11.0,788.2337962962963,789.231863925173
758.0,7574.0,1.0,940.0,9.0,9.0,789.5486111111111,790.5501461910505
759.0,7540.0,1.0,949.0,9.0,9.0,788.5370370370371,789.5301548574535
760.0,7052.0,0.0,830.0,13.0,9.0,788.1388888888889,789.152113349917
761.0,7044.0,0.0,822.0,6.0,2.0,787.6574074074074,788.6569893608688
762.0,7490.0,1.0,955.0,9.0,9.0,787.7638888888889,788.7621421806165
763.0,7065.0,0.0,825.0,12.0,13.0,786.4027777777778,787.41661069189
764.0,7077.0,0.0,817.0,6.0,2.0,785.7291666666666,786.7279517530857
765.0,7056.0,0.0,818.0,0.0,0.0,787.1527777777778,788.1513010316392
766.0,7013.0,0.0,823.0,18.0,16.0,788.7824074074074,789.7778242017991
767.0,7542.0,1.0,952.0,9.0,9.0,787.9768518518518,788.9653420175517
768.0,7050.0,0.0,820.0,9.0,2.0,785.5370370370371,786.5254644730209
769.0,7542.0,1.0,956.0,9.0,9.0,786.4814814814815,787.4777969838003
770.0,7536.0,1.0,954.0,9.0,9.0,787.5879629629629,788.5994281031659
771.0,7540.0,1.0,958.0,9.0,9.0,788.4328703703703,789.4346842200765
772.0,7555.0,1.0,945.0,9.0,9.0,788.1643518518518,789.1644278599587
773.0,7036.0,0.0,818.0,0.0,19.0,785.9050925925926,786.8976280496481
774.0,7032.0,0.0,835.0,6.0,0.0,785.1921296296297,786.1852314165204
775.0,7559.0,1.0,961.0,9.0,9.0,786.2199074074074,787.214365390118
776.0,7505.0,1.0,952.0,9.0,9.0,786.6180555555555,787.6221564004534
777.0,7023.0,0.0,829.0,10.0,2.0,786.5625,787.5663696114274
778.0,7032.0,0.0,827.0,11.0,19.0,788.4837962962963,789.4856221387474
779.0,7521.0,1.0,972.0,9.0,9.0,786.1203703703703,787.1135673976396
