# File, Counts, Atom Detected (threshold=7279), Max Count, X-pos (pix), Y-pos (pix), Mean Count, s.d.
1219.0,7419.0,1.0,937.0,9.0,9.0,781.6458333333334,782.634246803155
1220.0,7451.0,1.0,930.0,9.0,9.0,783.2870370370371,784.2717253676412
1221.0,7069.0,0.0,818.0,14.0,0.0,783.0810185185185,784.055183850286
1222.0,7071.0,0.0,815.0,2.0,14.0,783.5625,784.5423052776068
1223.0,7483.0,1.0,946.0,9.0,9.0,782.4861111111111,783.4655536664662
1224.0,7032.0,0.0,807.0,9.0,5.0,783.2060185185185,784.1872482839987
1225.0,7014.0,0.0,817.0,4.0,0.0,782.9166666666666,783.901865395641
1226.0,7039.0,0.0,820.0,11.0,0.0,781.9652777777778,782.9510671490805
1227.0,7019.0,0.0,814.0,3.0,16.0,782.6342592592592,783.6184822693122
1228.0,7490.0,1.0,944.0,9.0,9.0,782.5416666666666,783.524389331624
1229.0,6955.0,0.0,814.0,9.0,0.0,781.7824074074074,782.7663953558405
1230.0,7077.0,0.0,817.0,3.0,9.0,783.0162037037037,783.9993030561797
1231.0,7447.0,1.0,949.0,9.0,9.0,782.3125,783.2965986680389
1232.0,7465.0,1.0,933.0,9.0,9.0,783.4097222222222,784.3945083818361
1233.0,7030.0,0.0,814.0,3.0,2.0,781.9606481481482,782.9462249626692
1234.0,7055.0,0.0,816.0,3.0,19.0,782.6504629629629,783.6417794599017
1235.0,7050.0,0.0,821.0,3.0,0.0,781.3333333333334,782.3188032872521
1236.0,7020.0,0.0,814.0,10.0,20.0,783.0023148148148,783.9899157100396
1237.0,7515.0,1.0,967.0,9.0,9.0,782.6111111111111,783.5962221981135
1238.0,6992.0,0.0,821.0,3.0,11.0,782.9143518518518,783.8998038985621
1239.0,7051.0,0.0,814.0,10.0,15.0,784.8148148148148,785.8007457778117
1240.0,7022.0,0.0,823.0,0.0,6.0,783.9282407407408,784.9252480406022
1241.0,7078.0,0.0,820.0,4.0,0.0,784.2847222222222,785.2753444425256
1242.0,7101.0,0.0,829.0,4.0,14.0,783.8657407407408,784.8580198793343
1243.0,7054.0,0.0,823.0,4.0,13.0,783.5833333333334,784.575762823584
1244.0,7052.0,0.0,817.0,4.0,13.0,782.2476851851852,783.2440733400246
1245.0,7485.0,1.0,962.0,9.0,9.0,783.6782407407408,784.6628356569801
1246.0,7042.0,0.0,816.0,5.0,18.0,782.6782407407408,783.6569414330154
1247.0,7511.0,1.0,957.0,9.0,9.0,783.3032407407408,784.2890924336771
1248.0,7033.0,0.0,822.0,12.0,16.0,782.3796296296297,783.3761664088637
1249.0,7462.0,1.0,943.0,9.0,9.0,782.4050925925926,783.3971962251104
1250.0,7493.0,1.0,968.0,9.0,9.0,782.6574074074074,783.6473205274409
1251.0,7481.0,1.0,937.0,9.0,9.0,783.7685185185185,784.7468564895954
1252.0,7020.0,0.0,819.0,10.0,5.0,781.6296296296297,782.6167066404607
1253.0,7051.0,0.0,820.0,4.0,12.0,783.2569444444445,784.2416245992432
1254.0,7494.0,1.0,942.0,9.0,9.0,782.8819444444445,783.872549598416
1255.0,7078.0,0.0,816.0,4.0,12.0,783.0023148148148,784.00022639563
1256.0,7490.0,1.0,956.0,9.0,9.0,784.75,785.7430815827909
1257.0,7027.0,0.0,815.0,14.0,15.0,782.0300925925926,783.0232548484181
1258.0,7022.0,0.0,815.0,4.0,1.0,782.136574074074,783.1239793630152
1259.0,7029.0,0.0,821.0,5.0,12.0,782.1875,783.1803047773758
1260.0,7049.0,0.0,814.0,1.0,11.0,783.0162037037037,783.9953315003764
1261.0,7030.0,0.0,817.0,10.0,15.0,783.9398148148148,784.9299494362804
1262.0,7009.0,0.0,820.0,0.0,12.0,783.5277777777778,784.5070954622568
1263.0,7031.0,0.0,815.0,0.0,11.0,783.8587962962963,784.8352790956998
1264.0,7052.0,0.0,817.0,11.0,9.0,783.2476851851852,784.2338673512488
1265.0,7056.0,0.0,819.0,9.0,14.0,783.8310185185185,784.8288521366756
1266.0,7078.0,0.0,810.0,10.0,2.0,783.9143518518518,784.9073614926095
1267.0,6982.0,0.0,819.0,11.0,0.0,784.4120370370371,785.3957372160374
1268.0,7012.0,0.0,812.0,6.0,15.0,783.5833333333334,784.5783770270348
1269.0,7051.0,0.0,816.0,11.0,0.0,782.1898148148148,783.1744404513812
1270.0,7025.0,0.0,827.0,11.0,10.0,782.5601851851852,783.5585906396517
1271.0,7059.0,0.0,815.0,12.0,14.0,783.8564814814815,784.8487403593252
1272.0,6993.0,0.0,819.0,0.0,10.0,783.3101851851852,784.2903186603259
1273.0,7006.0,0.0,817.0,0.0,5.0,782.8194444444445,783.8041270067165
1274.0,6965.0,0.0,816.0,13.0,8.0,782.6504629629629,783.633823821807
1275.0,7027.0,0.0,814.0,12.0,12.0,782.5625,783.5410563633284
1276.0,7045.0,0.0,809.0,15.0,16.0,782.9722222222222,783.954941529185
1277.0,7062.0,0.0,816.0,0.0,10.0,784.2106481481482,785.1985384471767
1278.0,7032.0,0.0,823.0,6.0,8.0,782.0,782.9979865029983
